Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
We R Who We R,Kesha,dance pop,2011,74,82,65,1,72
Price Tag,Jessie J,australian pop,2011,64,83,68,3,72
Good Life,OneRepublic,dance pop,2011,63,69,65,8,72
Just Cant Get Enough,The Black Eyed Peas,dance pop,2011,66,63,26,19,71
On The Floor,Jennifer Lopez,dance pop,2011,73,78,57,11,69
What's My Name?,Rihanna,barbadian pop,2011,69,79,58,23,69
Yeah 3x,Chris Brown,dance pop,2011,71,88,70,0,69
Without You (feat. Usher),David Guetta,dance pop,2011,61,61,40,23,68
Sexy And I Know It,LMFAO,dance pop,2011,71,86,80,10,67
The Edge Of Glory,Lady Gaga,dance pop,2011,58,77,36,0,67
E.T.,Katy Perry,dance pop,2011,62,87,76,2,66
Till the World Ends,Britney Spears,dance pop,2011,69,71,45,2,65
I Wanna Go,Britney Spears,dance pop,2011,70,55,79,0,64
Blow,Kesha,dance pop,2011,75,73,81,0,64
You And I,Lady Gaga,dance pop,2011,52,70,52,9,64
Judas,Lady Gaga,dance pop,2011,66,93,53,0,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,65,89,32,3,63
Please Don't Go,Mike Posner,dance pop,2011,70,88,66,0,63
We Found Love,Rihanna,barbadian pop,2011,73,77,60,3,61
Marry The Night,Lady Gaga,dance pop,2011,61,88,38,0,61
1+1,Beyoncé,dance pop,2011,30,38,26,38,60
Hold It Against Me,Britney Spears,dance pop,2011,65,72,39,1,59
I'm Into You,Jennifer Lopez,dance pop,2011,59,75,70,2,59
Papi,Jennifer Lopez,dance pop,2011,71,81,89,13,58
Cheers (Drink To That),Rihanna,barbadian pop,2011,58,91,73,2,58
S&M Remix,Rihanna,barbadian pop,2011,82,81,89,5,54
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2011,64,95,57,6,52
Jar of Hearts,Christina Perri,dance pop,2011,35,35,9,73,50
Castle Walls (feat. Christina Aguilera),T.I.,atl hip hop,2011,45,86,58,7,49
Turning Page,Sleeping At Last,acoustic pop,2011,30,38,19,91,46
Super Bass,Nicki Minaj,dance pop,2011,77,74,59,6,38
Raise Your Glass,P!nk,dance pop,2011,68,64,56,0,38
Invading My Mind,Jennifer Lopez,dance pop,2011,73,88,69,2,31
Moment 4 Life - Album Version (Edited),Nicki Minaj,dance pop,2011,50,88,37,39,28
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,65,81,72,0,27
Firework,Katy Perry,dance pop,2011,64,83,65,14,25
Muny - Album Version (Edited),Nicki Minaj,dance pop,2011,80,72,53,56,7
Titanium (feat. Sia),David Guetta,dance pop,2012,60,79,30,7,80
